Sexo;Comunidad autónoma;Enfermedades;Sí o no;Total
Ambos sexos;Total;Tensión alta;TOTAL;100
Ambos sexos;Total;Tensión alta;Sí;19,03
Ambos sexos;Total;Tensión alta;No;80,59
Ambos sexos;Total;Infarto de miocardio;TOTAL;100
Ambos sexos;Total;Infarto de miocardio;Sí;0,71
Ambos sexos;Total;Infarto de miocardio;No;99,29
Ambos sexos;Total;Angina de pecho, enfermedad coronaria;TOTAL;100
Ambos sexos;Total;Angina de pecho, enfermedad coronaria;Sí;0,71
Ambos sexos;Total;Angina de pecho, enfermedad coronaria;No;99,29
Ambos sexos;Total;Otras enfermedades del corazón;TOTAL;100
Ambos sexos;Total;Otras enfermedades del corazón;Sí;4,09
Ambos sexos;Total;Otras enfermedades del corazón;No;95,91
Ambos sexos;Total;Varices en las piernas;TOTAL;100
Ambos sexos;Total;Varices en las piernas;Sí;7,55
Ambos sexos;Total;Varices en las piernas;No;92,45
Ambos sexos;Total;Artrosis (excluyendo artritis);TOTAL;100
Ambos sexos;Total;Artrosis (excluyendo artritis);Sí;14,37
Ambos sexos;Total;Artrosis (excluyendo artritis);No;85,63
Ambos sexos;Total;Dolor de espalda crónico (cervical);TOTAL;100
Ambos sexos;Total;Dolor de espalda crónico (cervical);Sí;11,33
Ambos sexos;Total;Dolor de espalda crónico (cervical);No;88,67
Ambos sexos;Total;Dolor de espalda crónico (lumbar);TOTAL;100
Ambos sexos;Total;Dolor de espalda crónico (lumbar);Sí;13,69
Ambos sexos;Total;Dolor de espalda crónico (lumbar);No;86,31
Ambos sexos;Total;Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida);TOTAL;100
Ambos sexos;Total;Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida);Sí;10,8
Ambos sexos;Total;Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida);No;89,2
Ambos sexos;Total;Asma (incluida asma alérgica);TOTAL;100
Ambos sexos;Total;Asma (incluida asma alérgica);Sí;4,03
Ambos sexos;Total;Asma (incluida asma alérgica);No;95,97
